,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,2018-03-14-04,128270,2413.91,587.95,404.23,404.02,81.37,0.9,1,1,0.99
2,2018-03-14-04,128482,3343.04,587.84,404.71,404.21,9.73,0.9,1,1,1
3,2018-03-14-04,128508,541.89,588.83,404.59,404.42,9.61,0.9,1,1,1
4,2018-03-14-04,128470,1476.8,588.81,404.47,404.41,149.65,0.9,1,1,1
5,2018-03-14-04,127723,5223.49,589.05,405.27,401.27,152.44,0.77,1.01,0.99,0.99
6,2018-03-14-04,126846,6158.83,590.13,403.43,400.33,83.93,0.88,1.01,0.99,0.99
7,2018-03-14-04,126589,4283.01,590.07,405.43,397.54,5.24,0.89,1.02,0.98,0.99
8,2018-03-14-04,128439,1014.44,1396.82,404.58,404.2,162.01,0.9,1,1,1
9,2018-03-14-04,128071,1940.83,1398.36,405.27,402.36,160.28,0.9,1.01,0.99,1
10,2018-03-14-04,127945,2875.51,1398.42,404.75,402.48,179.09,0.9,1.01,0.99,0.99
11,2018-03-14-04,128346,3811,1400.8,404.46,404.04,9.12,0.9,1,1,1
12,2018-03-14-04,128560,4760.2,1402.64,404.76,404.41,82.19,0.9,1,1,1
13,2018-03-14-04,128461,5694.62,1402.74,404.58,404.28,18.98,0.9,1,1,1
14,2018-03-14-04,128456,547.02,2208.95,404.5,404.34,167.2,0.9,1,1,1
15,2018-03-14-04,128417,2412.7,2208.94,404.5,404.21,29.6,0.9,1,1,1
16,2018-03-14-04,128200,1476.58,2210.26,404.81,403.22,149.9,0.9,1,1,0.99
17,2018-03-14-04,128409,3343.07,2209.82,404.56,404.13,7.19,0.9,1,1,1
18,2018-03-14-04,127999,4286.24,2212.51,404.31,403.09,29.39,0.9,1,1,0.99
19,2018-03-14-04,127589,5223.67,2215.38,405.31,400.81,33.03,0.9,1.01,0.99,0.99
20,2018-03-14-04,128496,6172.93,2214.32,404.66,404.3,29.1,0.9,1,1,1
21,2018-03-14-04,128205,3813.41,3021.57,404.74,403.31,20.58,0.89,1,1,0.99
22,2018-03-14-04,128611,1003.21,3024.21,404.83,404.5,178.63,0.9,1,1,1
23,2018-03-14-04,127734,1942.7,3025.13,404.82,401.75,178.25,0.9,1.01,0.99,0.99
24,2018-03-14-04,127626,2879.66,3025.1,404.61,401.62,28.05,0.9,1.01,0.99,0.99
25,2018-03-14-04,128279,4761.9,3026.41,404.98,403.3,13.63,0.9,1,1,0.99
26,2018-03-14-04,127916,5701.95,3026.68,405.3,401.85,51.83,0.9,1.01,0.99,0.99
27,2018-03-14-04,128522,540.24,3835.28,404.72,404.33,164.15,0.9,1,1,1
28,2018-03-14-04,128440,3345.86,3836.21,404.54,404.25,161.9,0.9,1,1,1
29,2018-03-14-04,128568,1476.88,3837.7,404.65,404.54,144.4,0.9,1,1,1
30,2018-03-14-04,128507,2414.67,3837.73,404.69,404.31,29.69,0.9,1,1,0.99
31,2018-03-14-04,128243,4290.17,3838.61,404.42,403.75,58.29,0.9,1,1,1
32,2018-03-14-04,128542,5232.78,3843.64,404.68,404.43,134.73,0.9,1,1,1
33,2018-03-14-04,128242,6173.16,3843.95,404.7,403.47,32.59,0.9,1,1,1
34,2018-03-14-04,128515,1004.11,4648.44,404.72,404.31,172.87,0.9,1,1,1
35,2018-03-14-04,128249,1943.92,4649.27,404.8,403.39,161.56,0.9,1,1,1
36,2018-03-14-04,128491,2878.88,4649.37,404.69,404.26,63.86,0.9,1,1,0.99
37,2018-03-14-04,128237,3815.82,4651.73,404.36,403.79,169.09,0.9,1,1,0.99
38,2018-03-14-04,127741,4757.87,4657,405.06,401.53,20.63,0.9,1.01,0.99,0.99
39,2018-03-14-04,128422,5703.13,4656.26,404.69,404.04,136.55,0.9,1,1,0.99
40,2018-03-14-04,128471,546.73,5460.1,404.62,404.26,162.14,0.9,1,1,1
41,2018-03-14-04,128102,1477.33,5461.47,404.83,402.9,150.69,0.9,1,1,0.99
42,2018-03-14-04,128266,2415.2,5462.92,404.54,403.7,162.71,0.9,1,1,1
43,2018-03-14-04,127807,3350.66,5463.91,405.07,401.73,177.14,0.9,1.01,0.99,0.99
44,2018-03-14-04,128273,4292.4,5466.16,404.41,403.86,111.39,0.9,1,1,0.99
45,2018-03-14-04,127861,5230.17,5467.75,404.94,402.03,26.66,0.9,1.01,0.99,0.99
46,2018-03-14-04,128475,6169.86,5467.07,404.6,404.29,23.22,0.9,1,1,1
47,2018-03-14-04,128604,1005.16,6276.71,404.85,404.45,177.56,0.9,1,1,1
48,2018-03-14-04,128365,1943.79,6277.67,404.59,403.97,92.82,0.9,1,1,1
49,2018-03-14-04,128460,2879.1,6276.7,404.7,404.15,24.56,0.9,1,1,1
50,2018-03-14-04,128115,5701.54,6276.99,404.81,402.96,27.42,0.9,1,1,0.99
51,2018-03-14-04,128693,3817.34,6278.61,404.87,404.71,33.51,0.9,1,1,1
52,2018-03-14-04,128366,4760.71,6279.69,404.49,404.06,1.7,0.9,1,1,1
53,2018-03-14-04,128243,543.3,7083.57,404.73,403.44,155.39,0.9,1,1,0.99
54,2018-03-14-04,128437,1476.99,7084.37,404.65,404.12,143.32,0.9,1,1,1
55,2018-03-14-04,128327,2415.08,7084.29,404.35,404.08,128.84,0.9,1,1,1
56,2018-03-14-04,128435,3349.96,7086.36,404.57,404.21,141.33,0.9,1,1,1
57,2018-03-14-04,128254,4294.87,7091.65,404.62,403.59,10.01,0.9,1,1,0.99
58,2018-03-14-04,128327,5229.39,7092.46,404.54,403.89,35.75,0.9,1,1,1
59,2018-03-14-04,128490,6175.93,7095.69,404.56,404.38,143,0.9,1,1,1
60,2018-03-14-04,128394,1012.92,7897.48,404.49,404.16,149.08,0.9,1,1,1
61,2018-03-14-04,128252,1946.74,7900.62,404.63,403.57,152.95,0.9,1,1,1
62,2018-03-14-04,128406,3820.28,7902.5,404.49,404.19,38.72,0.9,1,1,1
63,2018-03-14-04,128275,5701.23,7902.25,404.81,403.46,39.24,0.9,1,1,0.99
64,2018-03-14-04,127612,4759.03,7903.36,405.04,401.14,17.8,0.9,1.01,0.99,0.99
65,2018-03-14-04,127699,2878.89,7903.6,405.44,401.03,174.29,0.89,1.01,0.99,0.99
66,2018-03-14-04,128520,543.76,8708.25,404.74,404.3,149.44,0.9,1,1,1
67,2018-03-14-04,128230,1477.07,8709.58,405.12,403.01,149.45,0.9,1.01,0.99,0.99
68,2018-03-14-04,128544,2409.19,8710.16,404.59,404.53,149.7,0.9,1,1,1
69,2018-03-14-04,128294,3350.89,8713.41,404.56,403.77,5.72,0.9,1,1,1
70,2018-03-14-04,128512,6175.3,8716.24,404.81,404.2,28.42,0.9,1,1,1
71,2018-03-14-04,128511,4291.4,8717.17,404.58,404.44,21.67,0.9,1,1,1
72,2018-03-14-04,128462,5232.88,8722.12,404.56,404.3,131.29,0.9,1,1,1
1,2018-03-15-01,128207,2413.89,588.08,404.07,403.99,22.72,0.9,1,1,0.99
2,2018-03-15-01,128534,3343.06,587.81,404.74,404.34,17.38,0.9,1,1,1
3,2018-03-15-01,127236,543.14,590.31,406.18,398.84,39.86,0.86,1.02,0.98,0.99
4,2018-03-15-01,128470,1476.79,588.79,404.46,404.43,13.51,0.9,1,1,1
5,2018-03-15-01,127135,4282.58,588.39,405.32,399.37,17.27,0.89,1.01,0.99,0.99
6,2018-03-15-01,127868,5223.47,589.13,405.3,401.7,148.37,0.8,1.01,0.99,0.99
7,2018-03-15-01,127343,6159.23,590.18,403.78,401.55,101.14,0.88,1.01,0.99,0.99
8,2018-03-15-01,128187,1014.24,1397.18,404.88,403.11,155.65,0.9,1,1,0.99
9,2018-03-15-01,128241,1940.91,1398.13,405.04,403.13,160.63,0.9,1,1,1
10,2018-03-15-01,128191,2875.5,1398.05,404.57,403.44,175.53,0.9,1,1,0.99
11,2018-03-15-01,128454,3810.97,1400.75,404.56,404.28,42.13,0.9,1,1,1
12,2018-03-15-01,128477,4760.23,1402.8,404.65,404.26,38.09,0.9,1,1,0.99
13,2018-03-15-01,128481,5694.63,1402.74,404.57,404.35,7.71,0.9,1,1,1
14,2018-03-15-01,128458,547.02,2208.93,404.52,404.32,165.55,0.9,1,1,1
15,2018-03-15-01,128449,2412.69,2208.91,404.55,404.27,7.67,0.9,1,1,1
16,2018-03-15-01,128061,1476.6,2210.37,404.75,402.85,147.21,0.9,1,1,1
17,2018-03-15-01,128437,3343.07,2209.87,404.58,404.2,7.96,0.9,1,1,1
18,2018-03-15-01,128052,4286.09,2212.6,404,403.56,141.24,0.9,1,1,0.99
19,2018-03-15-01,126608,5224.93,2216.26,406.05,397,44.58,0.88,1.02,0.98,0.99
20,2018-03-15-01,128507,6172.92,2214.36,404.62,404.38,21.42,0.9,1,1,1
21,2018-03-15-01,128198,3813.44,3021.45,405.08,402.95,15.96,0.9,1.01,0.99,0.99
22,2018-03-15-01,128622,1003.21,3024.22,404.83,404.53,178.06,0.9,1,1,1
23,2018-03-15-01,127647,1942.99,3025.13,404.4,401.89,9.8,0.9,1.01,0.99,0.99
24,2018-03-15-01,127923,2879.49,3024.82,404.57,402.59,24.91,0.9,1,1,0.99
25,2018-03-15-01,127962,5701.9,3026.58,404.86,402.43,56.64,0.9,1.01,0.99,0.99
26,2018-03-15-01,128430,4761.86,3026.4,404.92,403.84,7.5,0.9,1,1,0.99
27,2018-03-15-01,128529,540.24,3835.28,404.71,404.35,163.32,0.9,1,1,1
28,2018-03-15-01,128429,3345.84,3836.25,404.53,404.23,178.81,0.9,1,1,1
29,2018-03-15-01,128560,1476.88,3837.72,404.6,404.56,105.8,0.9,1,1,1
30,2018-03-15-01,128476,2414.63,3837.77,404.59,404.31,28.67,0.9,1,1,1
31,2018-03-15-01,128272,4290.22,3838.87,404.46,403.8,108.53,0.9,1,1,1
32,2018-03-15-01,128565,5232.79,3843.62,404.74,404.45,129.07,0.9,1,1,1
33,2018-03-15-01,128413,6173.01,3843.75,404.43,404.28,39.38,0.9,1,1,1
34,2018-03-15-01,128481,1004.09,4648.49,404.74,404.18,172.21,0.9,1,1,1
35,2018-03-15-01,128200,1943.99,4649.3,404.69,403.34,166.08,0.9,1,1,1
36,2018-03-15-01,128330,2878.73,4649.51,404.43,404.02,64.28,0.9,1,1,0.99
37,2018-03-15-01,128355,3815.79,4651.55,404.32,404.21,52.04,0.9,1,1,1
38,2018-03-15-01,127924,4757.84,4656.79,404.65,402.52,25.34,0.9,1.01,0.99,0.99
39,2018-03-15-01,128471,5703.14,4656.21,404.74,404.14,127.44,0.9,1,1,1
40,2018-03-15-01,128419,546.81,5460.14,404.42,404.3,14.59,0.9,1,1,1
41,2018-03-15-01,128035,1477.46,5461.52,404.39,403.12,155.51,0.9,1,1,0.99
42,2018-03-15-01,128370,2415.13,5463.08,404.52,404.05,167.98,0.9,1,1,1
43,2018-03-15-01,128081,3350.65,5463.55,404.76,402.9,179.24,0.89,1,1,0.99
44,2018-03-15-01,128397,4292.52,5466.15,404.58,404.08,125.97,0.9,1,1,0.99
45,2018-03-15-01,127825,5229.78,5467.74,404.16,402.69,171.17,0.9,1,1,0.99
46,2018-03-15-01,128475,6169.86,5467.08,404.57,404.33,18.28,0.9,1,1,1
47,2018-03-15-01,128592,1005.17,6276.73,404.81,404.45,2.33,0.9,1,1,1
48,2018-03-15-01,128459,1943.84,6277.64,404.63,404.22,102.61,0.9,1,1,1
49,2018-03-15-01,128514,2879.12,6276.74,404.69,404.34,42.47,0.9,1,1,1
50,2018-03-15-01,127317,5700.36,6276.97,403.52,401.72,74.85,0.89,1,1,0.99
51,2018-03-15-01,128739,3817.35,6278.63,404.89,404.84,41.2,0.9,1,1,1
52,2018-03-15-01,128456,4760.75,6279.61,404.52,404.32,165.06,0.9,1,1,0.99
53,2018-03-15-01,127721,544.33,7083.37,404.59,401.94,98.18,0.89,1.01,0.99,0.99
54,2018-03-15-01,128411,1477.03,7084.38,404.56,404.14,140.72,0.9,1,1,0.99
55,2018-03-15-01,128126,2414.89,7084.26,404.19,403.61,73.32,0.9,1,1,0.99
56,2018-03-15-01,128447,3349.96,7086.35,404.54,404.28,151.42,0.9,1,1,1
57,2018-03-15-01,128250,4294.62,7091.7,404.64,403.55,143.71,0.9,1,1,0.99
58,2018-03-15-01,128315,5229.36,7092.44,404.61,403.79,28.27,0.9,1,1,1
59,2018-03-15-01,128349,6175.67,7095.82,404.89,403.61,121.76,0.9,1,1,0.99
60,2018-03-15-01,128108,1012.73,7897.68,404.87,402.87,135.61,0.9,1,1,0.99
61,2018-03-15-01,128260,1946.79,7900.56,404.63,403.59,154.41,0.9,1,1,1
62,2018-03-15-01,128449,3820.23,7902.49,404.48,404.33,48.83,0.9,1,1,1
63,2018-03-15-01,128195,5701.12,7902.15,404.9,403.12,40.76,0.9,1,1,0.99
64,2018-03-15-01,127799,4758.81,7902.72,404.95,401.82,14.53,0.9,1.01,0.99,0.99
65,2018-03-15-01,128097,2879,7903,404.92,402.79,1.43,0.9,1.01,0.99,0.99
66,2018-03-15-01,128505,543.82,8708.23,404.66,404.33,147.86,0.9,1,1,1
67,2018-03-15-01,127748,1477.67,8709.18,405.66,400.97,135.46,0.9,1.01,0.99,0.99
68,2018-03-15-01,128564,2409.19,8710.16,404.6,404.58,129.15,0.9,1,1,1
69,2018-03-15-01,128366,3350.92,8713.27,404.49,404.07,171.57,0.9,1,1,1
70,2018-03-15-01,128496,6175.26,8716.24,404.71,404.25,27.5,0.9,1,1,1
71,2018-03-15-01,128569,4291.43,8717.28,404.65,404.54,28.87,0.9,1,1,1
72,2018-03-15-01,128484,5232.88,8722.12,404.63,404.3,118.44,0.9,1,1,1
1,2018-03-15-02,126326,2412.55,589.77,403.85,398.27,125.22,0.88,1.01,0.99,0.99
2,2018-03-15-02,128432,3343.08,587.89,404.75,404.02,16.59,0.9,1,1,1
3,2018-03-15-02,123911,547.49,592.48,408.61,386.11,57.17,0.82,1.06,0.94,0.99
4,2018-03-15-02,128377,1476.76,588.76,404.34,404.25,20.46,0.9,1,1,1
5,2018-03-15-02,127614,5223.55,588.92,405.35,400.85,150.47,0.77,1.01,0.99,0.99
6,2018-03-15-02,125859,6158.27,591.32,402.57,398.07,107.79,0.86,1.01,0.99,0.99
7,2018-03-15-02,125328,4282.16,590.03,404.89,394.11,2.59,0.86,1.03,0.97,0.99
8,2018-03-15-02,126325,1013.61,1398.44,402.06,400.05,169.09,0.87,1.01,1,0.99
9,2018-03-15-02,127554,1940.43,1398.92,405.53,400.48,152.47,0.9,1.01,0.99,0.99
10,2018-03-15-02,127424,2875.75,1398.79,403.78,401.8,179.16,0.89,1,1,0.99
11,2018-03-15-02,128325,3810.95,1400.78,404.39,404.03,34.39,0.9,1,1,1
12,2018-03-15-02,128394,5694.62,1402.77,404.53,404.12,15.78,0.9,1,1,1
13,2018-03-15-02,126530,4759.29,1405.33,405.76,397.04,156.82,0.88,1.02,0.98,0.99
14,2018-03-15-02,128363,547.06,2209,404.39,404.16,169.67,0.9,1,1,1
15,2018-03-15-02,127963,2412.47,2209.54,404.97,402.32,162.48,0.89,1.01,0.99,0.99
16,2018-03-15-02,127250,3342.56,2208.34,405.19,399.86,15.26,0.88,1.01,0.99,0.99
17,2018-03-15-02,127004,1476.74,2211.51,403.34,400.92,164.62,0.9,1.01,0.99,0.99
18,2018-03-15-02,127476,4285.84,2212.84,403.33,402.42,27.85,0.9,1,1,0.99
19,2018-03-15-02,128449,6172.95,2214.39,404.63,404.19,9.82,0.9,1,1,1
20,2018-03-15-02,123721,5227.77,2218.32,405.16,388.8,44.44,0.83,1.04,0.96,0.99
21,2018-03-15-02,126327,3811.6,3019.54,406.23,395.94,40.34,0.89,1.03,0.97,0.99
22,2018-03-15-02,128563,1003.2,3024.23,404.78,404.4,177.3,0.9,1,1,1
23,2018-03-15-02,126648,1943.53,3024.74,404.24,398.91,169.44,0.89,1.01,0.99,0.99
24,2018-03-15-02,127251,5702.01,3026.62,405.42,399.63,51.21,0.9,1.01,0.99,0.99
25,2018-03-15-02,127444,2879.51,3025.36,404.49,401.17,15.07,0.9,1.01,0.99,1
26,2018-03-15-02,127616,4761.76,3027.15,405.74,400.46,173.82,0.9,1.01,0.99,0.99
27,2018-03-15-02,128292,540.13,3835.54,404.89,403.43,159.22,0.9,1,1,0.99
28,2018-03-15-02,128198,3345.8,3836.43,404.51,403.51,176.32,0.89,1,1,0.99
29,2018-03-15-02,128484,1476.84,3837.74,404.52,404.4,147.54,0.9,1,1,1
30,2018-03-15-02,124588,2418.73,3841.4,407.98,388.82,49.91,0.85,1.05,0.95,0.98
31,2018-03-15-02,125801,4287.36,3840.82,406.49,394.05,125.12,0.88,1.03,0.97,0.99
32,2018-03-15-02,128478,5232.76,3843.67,404.66,404.25,129.77,0.9,1,1,0.99
33,2018-03-15-02,128219,6173.11,3843.94,404.44,403.65,29.8,0.9,1,1,1
34,2018-03-15-02,128203,1004.01,4648.79,404.96,403.09,169.26,0.9,1,1,1
35,2018-03-15-02,127891,1944.05,4649.51,404.71,402.35,172.95,0.9,1.01,0.99,0.99
36,2018-03-15-02,127187,2878.38,4648.56,405.38,399.48,12.71,0.88,1.01,0.99,0.99
37,2018-03-15-02,128194,3815.74,4651.67,404.22,403.79,7.27,0.9,1,1,0.99
38,2018-03-15-02,128264,5702.94,4656.3,404.74,403.49,118.55,0.9,1,1,0.99
39,2018-03-15-02,126606,4757.19,4658.03,402.6,400.4,151.65,0.89,1.01,0.99,0.99
40,2018-03-15-02,127964,547.05,5460.53,403.88,403.4,26.96,0.89,1,1,0.99
41,2018-03-15-02,127114,1477.78,5461.94,403.9,400.71,138.34,0.9,1.01,0.99,0.99
42,2018-03-15-02,128010,2415.07,5463.27,404.8,402.64,162.78,0.9,1.01,0.99,0.99
43,2018-03-15-02,127698,3350.65,5463.97,404.86,401.6,179.06,0.9,1.01,0.99,0.99
44,2018-03-15-02,128222,4292.41,5466.16,404.36,403.74,103.05,0.9,1,1,1
45,2018-03-15-02,126755,5229.11,5467.64,403.08,400.39,28.62,0.88,1.01,0.99,0.99
46,2018-03-15-02,128330,6169.74,5467.15,404.29,404.16,133.91,0.9,1,1,1
47,2018-03-15-02,128520,1005.15,6276.74,404.72,404.32,178,0.9,1,1,1
48,2018-03-15-02,128299,1943.72,6277.67,404.56,403.79,99.18,0.9,1,1,0.99
49,2018-03-15-02,128442,2879.1,6276.74,404.67,404.12,39.3,0.9,1,1,1
50,2018-03-15-02,128692,3817.37,6278.62,404.81,404.77,6.87,0.9,1,1,1
51,2018-03-15-02,128307,4760.76,6279.52,404.48,403.89,165.95,0.9,1,1,0.99
52,2018-03-15-02,125468,5699.39,6277.4,402.61,396.78,45.94,0.86,1.01,0.99,0.99
53,2018-03-15-02,125129,546.91,7083.63,405.5,392.9,106.31,0.87,1.03,0.97,0.99
54,2018-03-15-02,128059,1477.08,7084.6,404.55,403.04,134.38,0.9,1,1,0.99
55,2018-03-15-02,127120,2414.54,7085.16,403.84,400.79,160.91,0.89,1.01,0.99,0.99
56,2018-03-15-02,128249,3349.97,7086.56,404.64,403.55,172.1,0.9,1,1,1
57,2018-03-15-02,127962,5229.47,7092.69,404.82,402.47,29.5,0.9,1.01,0.99,0.99
58,2018-03-15-02,127923,4294.56,7092.01,404.62,402.54,152.71,0.9,1.01,0.99,0.99
59,2018-03-15-02,124844,6171.86,7092.64,406.16,391.36,51.06,0.86,1.04,0.96,0.99
60,2018-03-15-02,126709,1012.51,7898.57,405.86,397.5,142.03,0.87,1.02,0.98,0.99
61,2018-03-15-02,127786,1946.67,7900.87,405.03,401.71,158.06,0.9,1.01,0.99,0.99
62,2018-03-15-02,127812,5700.91,7902.02,405.1,401.72,43.28,0.9,1.01,0.99,0.99
63,2018-03-15-02,128296,3820.24,7902.62,404.44,403.89,10.08,0.89,1,1,0.99
64,2018-03-15-02,127566,4758.82,7902.74,405.02,401.03,13.02,0.9,1.01,0.99,0.99
65,2018-03-15-02,127182,2878.91,7904.04,405.57,399.27,2.32,0.88,1.02,0.98,0.99
66,2018-03-15-02,128456,543.83,8708.2,404.6,404.23,152.19,0.9,1,1,1
67,2018-03-15-02,126164,1479.14,8708.96,405.47,396.17,124.31,0.89,1.02,0.98,0.99
68,2018-03-15-02,128516,2409.19,8710.15,404.56,404.47,141.26,0.9,1,1,1
69,2018-03-15-02,128225,6175.1,8716.04,404.96,403.15,34.09,0.9,1,1,0.99
70,2018-03-15-02,127166,3350.92,8713.78,405.23,399.55,177.22,0.9,1.01,0.99,0.99
71,2018-03-15-02,128473,4291.34,8717.28,404.52,404.37,59.3,0.9,1,1,1
72,2018-03-15-02,128334,5232.96,8722.06,404.51,403.95,130.97,0.9,1,1,1
1,2018-03-15-03,126243,2412.45,589.88,403.95,397.92,126.04,0.87,1.02,0.99,0.99
2,2018-03-15-03,128470,3343.08,587.88,404.78,404.1,17.42,0.9,1,1,1
3,2018-03-15-03,125856,545.26,590.9,407.23,393.5,58.66,0.88,1.03,0.97,0.99
4,2018-03-15-03,128446,1476.79,588.78,404.45,404.35,48.75,0.9,1,1,1
5,2018-03-15-03,127188,5223.84,588.32,405.99,398.88,152.36,0.83,1.02,0.98,0.99
6,2018-03-15-03,125792,6158.06,591.28,402.77,397.65,107.68,0.87,1.01,0.99,0.99
7,2018-03-15-03,125207,4282.07,590.45,404.81,393.81,0.98,0.85,1.03,0.97,0.99
8,2018-03-15-03,124972,1014.78,1399.58,402.09,395.73,37.72,0.82,1.02,0.98,0.98
9,2018-03-15-03,127565,1940.38,1398.92,405.51,400.54,151.88,0.9,1.01,0.99,0.99
10,2018-03-15-03,127492,2875.52,1398.89,404.44,401.36,0.72,0.89,1.01,0.99,0.99
11,2018-03-15-03,128288,3810.99,1400.87,404.51,403.8,21.48,0.9,1,1,1
12,2018-03-15-03,128357,5694.59,1402.8,404.48,404.05,6.85,0.9,1,1,0.99
13,2018-03-15-03,126597,4759.41,1405.24,405.57,397.44,157.58,0.88,1.02,0.98,0.99
14,2018-03-15-03,128342,547.09,2209.02,404.39,404.09,17.27,0.9,1,1,1
15,2018-03-15-03,127896,2412.5,2209.63,404.89,402.19,165.73,0.89,1.01,0.99,0.99
16,2018-03-15-03,125325,3342.25,2206.25,402.31,396.64,6.49,0.87,1.01,0.99,0.99
17,2018-03-15-03,126833,1477.02,2211.74,403.07,400.65,5.01,0.9,1.01,0.99,0.99
18,2018-03-15-03,127602,4285.88,2212.77,403.52,402.63,24.93,0.89,1,1,0.99
19,2018-03-15-03,128520,6172.94,2214.37,404.67,404.38,12.79,0.9,1,1,1
20,2018-03-15-03,122073,5229.5,2219.1,404.96,383.81,43.7,0.82,1.06,0.95,0.98
21,2018-03-15-03,126525,3811.75,3019.78,406.16,396.63,41.12,0.88,1.02,0.98,0.99
22,2018-03-15-03,128575,1003.2,3024.22,404.79,404.43,178.9,0.9,1,1,1
23,2018-03-15-03,126693,1943.67,3024.47,404.41,398.88,170.18,0.89,1.01,0.99,0.99
24,2018-03-15-03,127153,5701.8,3026.48,405.52,399.23,51.47,0.89,1.02,0.98,0.99
25,2018-03-15-03,127305,2879.61,3025.49,404.52,400.7,18.9,0.9,1.01,0.99,0.99
26,2018-03-15-03,127660,4761.72,3027.25,405.72,400.63,174.24,0.89,1.01,0.99,0.99
27,2018-03-15-03,128378,540.16,3835.44,404.79,403.81,158.94,0.9,1,1,0.99
28,2018-03-15-03,128316,3345.82,3836.35,404.57,403.83,176.34,0.89,1,1,0.99
29,2018-03-15-03,128503,1476.84,3837.72,404.55,404.43,166.25,0.9,1,1,1
30,2018-03-15-03,128228,2414.54,3838.01,404.5,403.62,172.64,0.9,1,1,0.99
31,2018-03-15-03,124008,4285.4,3838.95,400.25,394.48,105.53,0.87,1.01,0.99,0.99
32,2018-03-15-03,128410,5232.69,3843.74,404.76,403.94,131.48,0.9,1,1,0.99
33,2018-03-15-03,128345,6173.08,3843.81,404.44,404.05,18.28,0.9,1,1,1
34,2018-03-15-03,128259,1004.03,4648.72,404.9,403.32,170.96,0.9,1,1,1
35,2018-03-15-03,127940,1944.07,4649.47,404.85,402.37,175.03,0.9,1.01,0.99,0.99
36,2018-03-15-03,127339,2878.49,4648.62,405.58,399.76,11.24,0.87,1.01,0.99,0.99
37,2018-03-15-03,128213,3815.79,4651.68,404.32,403.75,7.88,0.9,1,1,0.99
38,2018-03-15-03,128350,5703.08,4656.31,404.79,403.72,135.87,0.9,1,1,1
39,2018-03-15-03,126190,4757.01,4658.41,402.27,399.41,150.86,0.88,1.01,0.99,0.99
40,2018-03-15-03,127954,547.2,5460.53,404.23,403.03,51.65,0.89,1,1,0.99
41,2018-03-15-03,126855,1478.37,5461.79,403.44,400.35,124.55,0.9,1.01,0.99,0.99
42,2018-03-15-03,128211,2415.17,5463.08,404.64,403.43,168.03,0.9,1,1,0.99
43,2018-03-15-03,127766,3350.66,5463.93,405,401.67,0.42,0.9,1.01,0.99,0.99
44,2018-03-15-03,128217,4292.4,5466.13,404.35,403.74,93.85,0.9,1,1,1
45,2018-03-15-03,126830,5229.17,5467.95,402.54,401.17,28.75,0.88,1,1,0.99
46,2018-03-15-03,128189,6169.53,5467.24,404.45,403.55,116.62,0.9,1,1,0.99
47,2018-03-15-03,128555,1005.14,6276.72,404.78,404.37,175.14,0.9,1,1,1
48,2018-03-15-03,128358,1943.75,6277.66,404.57,403.96,94.21,0.9,1,1,0.99
49,2018-03-15-03,128469,2879.1,6276.72,404.71,404.17,29.91,0.9,1,1,1
50,2018-03-15-03,128695,3817.36,6278.64,404.83,404.76,10.43,0.9,1,1,1
51,2018-03-15-03,128376,4760.73,6279.54,404.58,404.01,163.34,0.9,1,1,0.99
52,2018-03-15-03,124251,5697.89,6277.28,401.71,393.82,53.42,0.85,1.02,0.98,0.99
53,2018-03-15-03,124726,547.43,7083.46,405.58,391.55,106.6,0.87,1.04,0.97,0.99
54,2018-03-15-03,128173,1477.03,7084.47,404.82,403.12,145.49,0.9,1,1,0.99
55,2018-03-15-03,127183,2414.56,7085.14,404.07,400.76,161.14,0.89,1.01,0.99,0.99
56,2018-03-15-03,128361,3349.95,7086.47,404.64,403.9,167.15,0.9,1,1,1
57,2018-03-15-03,127911,5229.41,7092.65,404.87,402.25,29.7,0.9,1.01,0.99,0.99
58,2018-03-15-03,127889,4294.49,7091.94,404.47,402.59,143.06,0.9,1,1,0.99
59,2018-03-15-03,125140,6172,7093.06,406.01,392.44,54.13,0.87,1.03,0.97,0.99
60,2018-03-15-03,126386,1012.63,7898.65,406.2,396.16,142.27,0.88,1.03,0.98,0.99
61,2018-03-15-03,127760,1946.82,7900.72,405.02,401.63,159.8,0.9,1.01,0.99,0.99
62,2018-03-15-03,127644,5700.61,7901.75,405.11,401.18,44.52,0.9,1.01,0.99,0.99
63,2018-03-15-03,128325,3820.23,7902.6,404.46,403.96,12.04,0.9,1,1,1
64,2018-03-15-03,127783,4758.83,7902.5,405,401.73,16.02,0.9,1.01,0.99,0.99
65,2018-03-15-03,127611,2878.86,7903.35,405.1,401.09,3.5,0.89,1.01,0.99,0.99
66,2018-03-15-03,128476,543.8,8708.2,404.69,404.21,154.54,0.9,1,1,1
67,2018-03-15-03,125741,1479.89,8708.56,405.49,394.82,121.99,0.87,1.03,0.97,0.99
68,2018-03-15-03,128519,2409.19,8710.16,404.56,404.48,135.71,0.9,1,1,1
69,2018-03-15-03,127852,6174.6,8715.6,405.51,401.44,43.69,0.9,1.01,0.99,0.99
70,2018-03-15-03,128497,4291.32,8717.29,404.58,404.39,54.65,0.9,1,1,0.99
71,2018-03-15-03,126585,3350.76,8712.88,405.53,397.43,178.93,0.89,1.02,0.98,0.99
72,2018-03-15-03,128268,5232.98,8722.03,404.6,403.65,136.79,0.9,1,1,0.99
